Start Time, End Time, Color, Eclipse
2012-10-02T16:33:54.000000000, 2012-10-02T17:07:42.000000000,0xFF0000, ECLIPSE
2012-10-03T01:32:42.000000000, 2012-10-03T02:06:34.000000000,0xFF0000, ECLIPSE
2012-10-03T10:31:29.000000000, 2012-10-03T11:05:25.000000000,0xFF0000, ECLIPSE
2012-10-03T19:30:16.000000000, 2012-10-03T20:04:18.000000000,0xFF0000, ECLIPSE
2012-10-04T04:29:03.000000000, 2012-10-04T05:03:09.000000000,0xFF0000, ECLIPSE
2012-10-04T13:27:51.000000000, 2012-10-04T14:02:01.000000000,0xFF0000, ECLIPSE
2012-10-04T22:26:39.000000000, 2012-10-04T23:00:53.000000000,0xFF0000, ECLIPSE
2012-10-05T07:25:27.000000000, 2012-10-05T07:59:45.000000000,0xFF0000, ECLIPSE
2012-10-05T16:24:14.000000000, 2012-10-05T16:58:37.000000000,0xFF0000, ECLIPSE
2012-10-06T01:23:02.000000000, 2012-10-06T01:57:28.000000000,0xFF0000, ECLIPSE
2012-10-06T10:21:50.000000000, 2012-10-06T10:56:21.000000000,0xFF0000, ECLIPSE
2012-10-06T19:20:38.000000000, 2012-10-06T19:55:12.000000000,0xFF0000, ECLIPSE
2012-10-07T04:19:25.000000000, 2012-10-07T04:54:04.000000000,0xFF0000, ECLIPSE
2012-10-07T13:18:13.000000000, 2012-10-07T13:52:56.000000000,0xFF0000, ECLIPSE
2012-10-07T22:17:01.000000000, 2012-10-07T22:51:48.000000000,0xFF0000, ECLIPSE
2012-10-08T07:15:48.000000000, 2012-10-08T07:50:41.000000000,0xFF0000, ECLIPSE
2012-10-08T16:14:37.000000000, 2012-10-08T16:49:33.000000000,0xFF0000, ECLIPSE
2012-10-09T01:13:24.000000000, 2012-10-09T01:48:25.000000000,0xFF0000, ECLIPSE
2012-10-09T10:12:13.000000000, 2012-10-09T10:47:17.000000000,0xFF0000, ECLIPSE
2012-10-09T19:11:02.000000000, 2012-10-09T19:46:09.000000000,0xFF0000, ECLIPSE
2012-10-10T04:09:50.000000000, 2012-10-10T04:45:01.000000000,0xFF0000, ECLIPSE
2012-10-10T13:08:39.000000000, 2012-10-10T13:43:53.000000000,0xFF0000, ECLIPSE
2012-10-10T22:07:27.000000000, 2012-10-10T22:42:45.000000000,0xFF0000, ECLIPSE
2012-10-11T07:06:14.000000000, 2012-10-11T07:41:38.000000000,0xFF0000, ECLIPSE
2012-10-11T16:05:02.000000000, 2012-10-11T16:40:30.000000000,0xFF0000, ECLIPSE
2012-10-12T01:03:52.000000000, 2012-10-12T01:39:23.000000000,0xFF0000, ECLIPSE
2012-10-12T10:02:39.000000000, 2012-10-12T10:38:14.000000000,0xFF0000, ECLIPSE
2012-10-12T19:01:28.000000000, 2012-10-12T19:37:06.000000000,0xFF0000, ECLIPSE
2012-10-13T04:00:17.000000000, 2012-10-13T04:35:58.000000000,0xFF0000, ECLIPSE
2012-10-13T12:59:03.000000000, 2012-10-13T13:34:50.000000000,0xFF0000, ECLIPSE
2012-10-13T21:57:53.000000000, 2012-10-13T22:33:42.000000000,0xFF0000, ECLIPSE
2012-10-14T06:56:40.000000000, 2012-10-14T07:32:33.000000000,0xFF0000, ECLIPSE
2012-10-14T15:55:28.000000000, 2012-10-14T16:31:26.000000000,0xFF0000, ECLIPSE
2012-10-15T00:54:15.000000000, 2012-10-15T01:30:16.000000000,0xFF0000, ECLIPSE
2012-10-15T09:53:04.000000000, 2012-10-15T10:29:08.000000000,0xFF0000, ECLIPSE
2012-10-15T18:51:51.000000000, 2012-10-15T19:27:59.000000000,0xFF0000, ECLIPSE
2012-10-16T03:50:39.000000000, 2012-10-16T04:26:50.000000000,0xFF0000, ECLIPSE
2012-10-16T12:49:25.000000000, 2012-10-16T13:25:42.000000000,0xFF0000, ECLIPSE
2012-10-16T21:48:14.000000000, 2012-10-16T22:24:33.000000000,0xFF0000, ECLIPSE
2012-10-17T06:47:02.000000000, 2012-10-17T07:23:24.000000000,0xFF0000, ECLIPSE
2012-10-17T15:45:50.000000000, 2012-10-17T16:22:14.000000000,0xFF0000, ECLIPSE
2012-10-18T00:44:36.000000000, 2012-10-18T01:21:05.000000000,0xFF0000, ECLIPSE
2012-10-18T09:43:24.000000000, 2012-10-18T10:19:56.000000000,0xFF0000, ECLIPSE
2012-10-18T18:42:12.000000000, 2012-10-18T19:18:47.000000000,0xFF0000, ECLIPSE
2012-10-19T03:41:00.000000000, 2012-10-19T04:17:38.000000000,0xFF0000, ECLIPSE
2012-10-19T12:39:48.000000000, 2012-10-19T13:16:29.000000000,0xFF0000, ECLIPSE
2012-10-19T21:38:36.000000000, 2012-10-19T22:15:20.000000000,0xFF0000, ECLIPSE
