Start Time, End Time, Color, Thruster
2014-08-28T14:55:17.000000000, 2014-08-28T17:15:54.000000000,0xFF0000, Thruster
2014-09-18T14:25:44.000000000, 2014-09-18T16:36:27.000000000,0xFF0000, Thruster
2014-09-25T12:15:49.000000000, 2014-09-25T18:16:52.000000000,0xFF0000, Thruster
2014-10-09T11:36:54.000000000, 2014-10-09T13:28:29.000000000,0xFF0000, Thruster
2014-10-28T14:10:06.000000000, 2014-10-28T14:10:37.000000000,0xFF0000, Thruster
2014-10-28T14:10:06.000000000, 2014-10-28T14:10:37.000000000,0xFF0000, Thruster2
2014-10-30T16:30:10.000000000, 2014-10-30T19:40:15.000000000,0xFF0000, Thruster
2014-11-20T15:38:29.000000000, 2014-11-20T18:27:48.000000000,0xFF0000, Thruster
2014-12-11T13:25:07.000000000, 2014-12-11T16:12:02.000000000,0xFF0000, Thruster
2014-12-18T15:45:07.000000000, 2014-12-18T16:37:01.000000000,0xFF0000, Thruster
2015-01-08T14:15:53.000000000, 2015-01-08T16:50:41.000000000,0xFF0000, Thruster
2015-02-06T12:30:07.000000000, 2015-02-06T15:55:46.000000000,0xFF0000, Thruster
2015-02-19T15:00:11.000000000, 2015-02-19T16:14:41.000000000,0xFF0000, Thruster
2015-03-12T12:30:09.000000000, 2015-03-12T15:04:58.000000000,0xFF0000, Thruster
2015-03-30T10:15:07.000000000, 2015-03-30T12:39:22.000000000,0xFF0000, Thruster
2015-04-16T15:10:52.000000000, 2015-04-16T17:34:36.000000000,0xFF0000, Thruster
2015-05-04T14:45:16.000000000, 2015-05-04T17:28:34.000000000,0xFF0000, Thruster
2015-05-22T14:30:08.000000000, 2015-05-22T17:16:39.000000000,0xFF0000, Thruster
2015-06-08T13:45:59.000000000, 2015-06-08T16:22:32.000000000,0xFF0000, Thruster
2015-06-30T01:15:08.000000000, 2015-06-30T04:31:08.000000000,0xFF0000, Thruster
2015-07-09T17:30:15.000000000, 2015-07-09T18:57:20.000000000,0xFF0000, Thruster
2015-07-31T19:00:10.000000000, 2015-07-31T22:36:46.000000000,0xFF0000, Thruster
2015-08-20T14:40:10.000000000, 2015-08-20T17:48:13.000000000,0xFF0000, Thruster
2015-09-10T13:30:27.000000000, 2015-09-10T16:26:30.000000000,0xFF0000, Thruster
2015-09-10T13:30:27.000000000, 2015-09-10T16:26:30.000000000,0xFF0000, Thruster
2015-09-30T18:10:39.000000000, 2015-09-30T20:45:22.000000000,0xFF0000, Thruster
2015-10-09T16:55:10.000000000, 2015-10-09T17:18:08.000000000,0xFF0000, Thruster
2015-10-09T16:55:10.000000000, 2015-10-09T17:18:08.000000000,0xFF0000, Thruster2
2015-10-22T19:20:15.000000000, 2015-10-22T22:13:38.000000000,0xFF0000, Thruster
2015-11-12T16:15:11.000000000, 2015-11-12T18:34:28.000000000,0xFF0000, Thruster
2015-12-03T17:00:20.000000000, 2015-12-03T19:28:29.000000000,0xFF0000, Thruster
2015-12-17T18:31:40.000000000, 2015-12-17T20:11:42.000000000,0xFF0000, Thruster
2016-01-07T15:15:16.000000000, 2016-01-07T17:51:14.000000000,0xFF0000, Thruster
2016-01-28T14:45:09.000000000, 2016-01-28T16:49:24.000000000,0xFF0000, Thruster
