MAVEN LPW LP Stub DAC-to-sweep voltage calibration Wed Sep 17 14:15:19 2014
DAC Step	V1	V2
261	43.1764	42.8815
262	43.1522	42.8552
263	43.1279	42.8295
264	43.1037	42.8042
265	43.0794	42.7790
266	43.0552	42.7543
267	43.0309	42.7301
268	43.0066	42.7067
269	42.9823	42.6843
270	42.9579	42.6625
271	42.9335	42.6408
272	42.9092	42.6186
273	42.8849	42.5952
274	42.8607	42.5712
275	42.8365	42.5469
276	42.8123	42.5225
277	42.7882	42.4986
278	42.7640	42.4745
279	42.7399	42.4501
280	42.7157	42.4251
281	42.6914	42.3990
282	42.6671	42.3724
283	42.6428	42.3458
284	42.6185	42.3197
285	42.5944	42.2941
286	42.5703	42.2691
287	42.5462	42.2450
288	42.5221	42.2222
289	42.4978	42.2016
290	42.4735	42.1821
291	42.4492	42.1626
292	42.4250	42.1420
293	42.4009	42.1189
294	42.3768	42.0947
295	42.3528	42.0698
296	42.3287	42.0446
297	42.3045	42.0196
298	42.2803	41.9945
299	42.2561	41.9698
300	42.2319	41.9458
301	42.2077	41.9231
302	42.1836	41.9011
303	42.1594	41.8795
304	42.1353	41.8580
305	42.1111	41.8369
306	42.0870	41.8157
307	42.0628	41.7937
308	42.0387	41.7703
309	42.0146	41.7436
310	41.9906	41.7156
311	41.9665	41.6878
312	41.9424	41.6618
313	41.9183	41.6399
314	41.8941	41.6197
315	41.8700	41.6002
316	41.8458	41.5801
317	41.8216	41.5589
318	41.7974	41.5368
319	41.7731	41.5133
320	41.7489	41.4879
321	41.7247	41.4589
322	41.7004	41.4283
323	41.6762	41.3978
324	41.6520	41.3693
325	41.6278	41.3450
326	41.6036	41.3228
327	41.5794	41.3018
328	41.5553	41.2812
329	41.5313	41.2605
330	41.5073	41.2398
331	41.4833	41.2183
332	41.4592	41.1952
333	41.4350	41.1693
334	41.4108	41.1419
335	41.3865	41.1138
336	41.3622	41.0858
337	41.3379	41.0591
338	41.3135	41.0327
339	41.2891	41.0066
340	41.2648	40.9809
341	41.2405	40.9551
342	41.2163	40.9297
343	41.1920	40.9048
344	41.1677	40.8806
345	41.1432	40.8564
346	41.1186	40.8330
347	41.0941	40.8107
348	41.0697	40.7899
349	41.0455	40.7719
350	41.0215	40.7551
351	40.9975	40.7382
352	40.9734	40.7198
353	40.9491	40.6987
354	40.9248	40.6758
355	40.9004	40.6516
356	40.8761	40.6261
357	40.8519	40.5992
358	40.8276	40.5715
359	40.8034	40.5439
360	40.7792	40.5175
361	40.7549	40.4944
362	40.7306	40.4726
363	40.7063	40.4508
364	40.6820	40.4282
365	40.6576	40.4026
366	40.6332	40.3761
367	40.6088	40.3494
368	40.5845	40.3235
369	40.5603	40.2997
370	40.5361	40.2767
371	40.5119	40.2541
372	40.4877	40.2314
373	40.4636	40.2076
374	40.4395	40.1836
375	40.4152	40.1597
376	40.3908	40.1363
377	40.3662	40.1144
378	40.3413	40.0928
379	40.3163	40.0708
380	40.2911	40.0478
381	40.2656	40.0224
382	40.2401	39.9959
383	40.2146	39.9691
384	40.1895	39.9429
385	40.1649	39.9187
