MAVEN LPW LP Sweep DAC-to-sweep voltage calibration Wed Sep 03 15:19:55 2014
DAC Step	V1	V2
261	43.2190	43.0167
262	43.1947	42.9927
263	43.1704	42.9686
264	43.1461	42.9446
265	43.1218	42.9206
266	43.0976	42.8965
267	43.0734	42.8725
268	43.0491	42.8486
269	43.0248	42.8247
270	43.0004	42.8009
271	42.9761	42.7771
272	42.9517	42.7532
273	42.9273	42.7292
274	42.9030	42.7050
275	42.8787	42.6809
276	42.8544	42.6569
277	42.8303	42.6330
278	42.8062	42.6092
279	42.7821	42.5853
280	42.7579	42.5615
281	42.7336	42.5376
282	42.7093	42.5137
283	42.6849	42.4897
284	42.6606	42.4658
285	42.6364	42.4418
286	42.6123	42.4178
287	42.5882	42.3938
288	42.5640	42.3699
289	42.5397	42.3460
290	42.5154	42.3222
291	42.4912	42.2984
292	42.4669	42.2746
293	42.4427	42.2507
294	42.4186	42.2268
295	42.3944	42.2028
296	42.3703	42.1789
297	42.3461	42.1550
298	42.3219	42.1311
299	42.2977	42.1071
300	42.2735	42.0832
301	42.2493	42.0593
302	42.2250	42.0353
303	42.2008	42.0114
304	42.1766	41.9875
305	42.1525	41.9636
306	42.1284	41.9398
307	42.1043	41.9159
308	42.0802	41.8921
309	42.0561	41.8683
310	42.0320	41.8444
311	42.0078	41.8206
312	41.9837	41.7967
313	41.9596	41.7728
314	41.9354	41.7490
315	41.9113	41.7250
316	41.8871	41.7011
317	41.8629	41.6771
318	41.8386	41.6531
319	41.8143	41.6291
320	41.7900	41.6050
321	41.7657	41.5808
322	41.7415	41.5567
323	41.7172	41.5325
324	41.6930	41.5084
325	41.6688	41.4845
326	41.6447	41.4606
327	41.6205	41.4368
328	41.5964	41.4129
329	41.5723	41.3889
330	41.5482	41.3649
331	41.5241	41.3408
332	41.5000	41.3168
333	41.4758	41.2928
334	41.4517	41.2689
335	41.4274	41.2449
336	41.4031	41.2210
337	41.3787	41.1971
338	41.3542	41.1731
339	41.3297	41.1491
340	41.3053	41.1251
341	41.2811	41.1010
342	41.2569	41.0768
343	41.2327	41.0527
344	41.2084	41.0286
345	41.1840	41.0046
346	41.1595	40.9807
347	41.1349	40.9568
348	41.1105	40.9330
349	41.0862	40.9091
350	41.0620	40.8853
351	41.0378	40.8615
352	41.0136	40.8376
353	40.9893	40.8137
354	40.9650	40.7898
355	40.9407	40.7658
356	40.9164	40.7418
357	40.8921	40.7176
358	40.8677	40.6933
359	40.8434	40.6691
360	40.8191	40.6449
361	40.7948	40.6209
362	40.7706	40.5970
363	40.7464	40.5731
364	40.7221	40.5492
365	40.6977	40.5252
366	40.6733	40.5012
367	40.6490	40.4773
368	40.6246	40.4533
369	40.6003	40.4294
370	40.5761	40.4055
371	40.5518	40.3816
372	40.5276	40.3577
373	40.5035	40.3338
374	40.4793	40.3099
375	40.4551	40.2859
376	40.4306	40.2616
377	40.4059	40.2370
378	40.3810	40.2122
379	40.3559	40.1873
380	40.3307	40.1622
381	40.3052	40.1370
382	40.2797	40.1117
383	40.2543	40.0864
384	40.2292	40.0614
385	40.2047	40.0368
386	40.1804	40.0124
387	40.1564	39.9882
388	40.1324	39.9640
389	40.1082	39.9397
390	40.0840	39.9155
391	40.0599	39.8913
392	40.0357	39.8672
393	40.0115	39.8431
394	39.9874	39.8190
395	39.9633	39.7949
396	39.9391	39.7709
397	39.9149	39.7469
398	39.8908	39.7230
399	39.8666	39.6990
400	39.8424	39.6750
401	39.8182	39.6509
402	39.7940	39.6268
403	39.7698	39.6027
404	39.7457	39.5786
405	39.7217	39.5545
406	39.6977	39.5303
407	39.6736	39.5062
408	39.6496	39.4821
409	39.6255	39.4581
410	39.6013	39.4341
411	39.5771	39.4101
412	39.5529	39.3861
413	39.5288	39.3619
414	39.5048	39.3377
415	39.4808	39.3135
416	39.4567	39.2894
417	39.4326	39.2654
418	39.4084	39.2414
419	39.3842	39.2175
420	39.3601	39.1936
421	39.3361	39.1697
422	39.3121	39.1457
423	39.2881	39.1217
424	39.2641	39.0977
425	39.2401	39.0736
426	39.2161	39.0495
427	39.1921	39.0254
428	39.1680	39.0013
429	39.1439	38.9773
430	39.1198	38.9534
431	39.0957	38.9295
432	39.0716	38.9056
433	39.0475	38.8816
434	39.0235	38.8576
435	38.9995	38.8335
436	38.9755	38.8095
437	38.9515	38.7855
438	38.9276	38.7615
439	38.9036	38.7375
440	38.8796	38.7135
441	38.8556	38.6894
442	38.8315	38.6653
443	38.8075	38.6412
444	38.7834	38.6171
445	38.7593	38.5930
