    73.416    279.000
    73.414    280.000
    73.385    281.000
    73.461    282.000
    73.482    283.000
    73.466    284.000
    73.449    285.000
    73.455    286.000
    73.463    287.000
    73.471    288.000
    73.537    289.000
    73.503    290.000
    73.509    291.000
    73.515    292.000
    73.516    293.000
    73.517    294.000
    73.519    295.000
    73.524    296.000
    73.531    297.000
    73.539    298.000
    73.547    299.000
    73.550    300.000
    73.554    301.000
    73.559    302.000
    73.566    303.000
    73.576    304.000
    73.586    305.000
    73.596    306.000
    73.606    307.000
    73.621    308.000
    73.635    309.000
    73.652    310.000
    73.669    311.000
    73.685    312.000
    73.703    313.000
    73.724    314.000
    73.744    315.000
    73.762    316.000
    73.779    317.000
    73.794    318.000
    73.806    319.000
    73.819    320.000
    73.831    321.000
    73.843    322.000
    73.855    323.000
    73.867    324.000
    73.878    325.000
    73.886    326.000
    73.894    327.000
    73.902    328.000
    73.907    329.000
    73.906    330.000
    73.905    331.000
    73.905    332.000
    73.902    333.000
    73.899    334.000
    73.896    335.000
    73.892    336.000
    73.887    337.000
    73.884    338.000
    73.882    339.000
    73.880    340.000
    73.877    341.000
    73.873    342.000
    73.869    343.000
    73.867    344.000
    73.863    345.000
    73.858    346.000
    73.854    347.000
    73.845    348.000
    73.836    349.000
    73.834    350.000
    73.835    351.000
    73.835    352.000
    73.836    353.000
    73.835    354.000
    73.833    355.000
    73.830    356.000
    73.827    357.000
    73.825    358.000
    73.824    359.000
    73.823    360.000
    73.823      1.000
    73.823      2.000
    73.820      3.000
    73.814      4.000
    73.812      5.000
    73.812      6.000
    73.811      7.000
    73.814      8.000
    73.822      9.000
    73.826     10.000
    73.825     11.000
    73.822     12.000
    73.816     13.000
    73.812     14.000
    73.811     15.000
    73.842     16.000
    73.835     17.000
    73.865     18.000
    73.877     19.000
    73.869     20.000
    73.808     21.000
    73.755     22.000
    73.734     23.000
    73.752     24.000
    73.791     25.000
