162,189843.750,-100, , , , , 
163,191015.625,-100, , , , , 
164,192187.500,-100, , , , , 
165,193359.375,-100, , , , , 
166,194531.250,-100, , , , , 
167,195703.125,-100, , , , , 
168,196875.000,-97.20215271239496,23,168,167,169,196875.00
169,198046.875,-92.63249703856543, , , , , 
170,199218.750,-13.74763456177422, , , , , 
171,200390.625,-0.4685548536563604, , , , , 
172,201562.500,-89.54148965923986, , , , , 
173,202734.375,-95.94614589180082, , , , , 
174,203906.250,-99.31011168235773, , , , , 
175,205078.125,-100, , , , , 
176,206250.000,-100, , , , , 
177,207421.875,-100, , , , , 
178,208593.750,-100,24,178,177,179,208593.75
179,209765.625,-100, , , , , 
180,210937.500,-100, , , , , 
181,212109.375,-100, , , , , 
182,213281.250,-100, , , , , 
183,214453.125,-100, , , , , 
184,215625.000,-100, , , , , 
185,216796.875,-100, , , , , 
186,217968.750,-100, , , , , 
187,219140.625,-100, , , , , 
188,220312.500,-100,25,188,187,189,220312.50
189,221484.375,-100, , , , , 
190,222656.250,-100, , , , , 
191,223828.125,-100, , , , , 
192,225000.000,-100, , , , , 
193,226171.875,-100, , , , , 
194,227343.750,-100, , , , , 
195,228515.625,-100, , , , , 
196,229687.500,-100, , , , , 
197,230859.375,-100, , , , , 
198,232031.250,-100, , , , , 
199,233203.125,-100,26,199,198,200,233203.12
200,234375.000,-100, , , , , 
201,235546.875,-100, , , , , 
202,236718.750,-100, , , , , 
203,237890.625,-100, , , , , 
204,239062.500,-100, , , , , 
205,240234.375,-100, , , , , 
206,241406.250,-100, , , , , 
207,242578.125,-100, , , , , 
208,243750.000,-100, , , , , 
209,244921.875,-100, , , , , 
210,246093.750,-99.31011168235773, , , , , 
211,247265.625,-95.94614589180082,27,211,210,212,247265.62
212,248437.500,-89.54148965923986, , , , , 
213,249609.375,-0.4685548536563604, , , , , 
214,250781.250,-13.74763456177422, , , , , 
215,251953.125,-92.63249703856543, , , , , 
216,253125.000,-97.20215271239496, , , , , 
217,254296.875,-100, , , , , 
218,255468.750,-100, , , , , 
219,256640.625,-100, , , , , 
220,257812.500,-100, , , , , 
221,258984.375,-100, , , , , 
222,260156.250,-100, , , , , 
223,261328.125,-100,28,223,222,224,261328.12
224,262500.000,-100, , , , , 
225,263671.875,-100, , , , , 
226,264843.750,-100, , , , , 
227,266015.625,-100, , , , , 
228,267187.500,-100, , , , , 
229,268359.375,-100, , , , , 
230,269531.250,-100, , , , , 
231,270703.125,-100, , , , , 
232,271875.000,-100, , , , , 
233,273046.875,-100, , , , , 
234,274218.750,-100, , , , , 
235,275390.625,-100, , , , , 
236,276562.500,-100,29,236,235,237,276562.50
237,277734.375,-100, , , , , 
238,278906.250,-100, , , , , 
239,280078.125,-100, , , , , 
240,281250.000,-100, , , , , 
241,282421.875,-100, , , , , 
242,283593.750,-100, , , , , 
243,284765.625,-100, , , , , 
244,285937.500,-100, , , , , 
245,287109.375,-100, , , , , 
246,288281.250,-100, , , , , 
247,289453.125,-100, , , , , 
248,290625.000,-100, , , , , 
249,291796.875,-100, , , , , 
250,292968.750,-100,30,250,249,251,292968.75
251,294140.625,-100, , , , , 
252,295312.500,-100, , , , , 
253,296484.375,-98.31299106004755, , , , , 
254,297656.250,-94.49959055531997, , , , , 
255,298828.125,-71.65982337235417, , , , , 
256,300000.000,-0.00019253209306927885, , , , , 
257,301171.875,-71.65982337235417, , , , , 
258,302343.750,-94.49959055531997, , , , , 
259,303515.625,-98.31299106004755, , , , , 
260,304687.500,-100, , , , , 
261,305859.375,-100, , , , , 
262,307031.250,-100, , , , , 
263,308203.125,-100, , , , , 
264,309375.000,-100,31,264,263,265,309375.00
265,310546.875,-100, , , , , 
266,311718.750,-100, , , , , 
267,312890.625,-100, , , , , 
268,314062.500,-100, , , , , 
269,315234.375,-100, , , , , 
270,316406.250,-100, , , , , 
271,317578.125,-100, , , , , 
272,318750.000,-100, , , , , 
273,319921.875,-100, , , , , 
274,321093.750,-100, , , , , 
275,322265.625,-100, , , , , 
276,323437.500,-100, , , , , 
277,324609.375,-100, , , , , 
278,325781.250,-100, , , , , 
279,326953.125,-100, , , , , 
280,328125.000,-100,32,280,279,281,328125.00
281,329296.875,-100, , , , , 
282,330468.750,-100, , , , , 
283,331640.625,-100, , , , , 
284,332812.500,-100, , , , , 
285,333984.375,-100, , , , , 
286,335156.250,-100, , , , , 
287,336328.125,-100, , , , , 
288,337500.000,-100, , , , , 
289,338671.875,-100, , , , , 
290,339843.750,-100, , , , , 
291,341015.625,-100, , , , , 
292,342187.500,-100, , , , , 
293,343359.375,-100, , , , , 
294,344531.250,-100, , , , , 
295,345703.125,-100, , , , , 
296,346875.000,-97.20215271239496,33,296,295,297,346875.00
297,348046.875,-92.63249703856543, , , , , 
298,349218.750,-13.74763456177422, , , , , 
299,350390.625,-0.4685548536563604, , , , , 
300,351562.500,-89.54148965923986, , , , , 
301,352734.375,-95.94614589180082, , , , , 
302,353906.250,-99.31011168235773, , , , , 
303,355078.125,-100, , , , , 
304,356250.000,-100, , , , , 
305,357421.875,-100, , , , , 
306,358593.750,-100, , , , , 
307,359765.625,-100, , , , , 
308,360937.500,-100, , , , , 
309,362109.375,-100, , , , , 
310,363281.250,-100, , , , , 
311,364453.125,-100, , , , , 
312,365625.000,-100, , , , , 
313,366796.875,-100,34,313,312,314,366796.88
314,367968.750,-100, , , , , 
315,369140.625,-100, , , , , 
316,370312.500,-100, , , , , 
317,371484.375,-100, , , , , 
318,372656.250,-100, , , , , 
319,373828.125,-100, , , , , 
320,375000.000,-100, , , , , 
321,376171.875,-100, , , , , 
322,377343.750,-100, , , , , 
323,378515.625,-100, , , , , 
324,379687.500,-100, , , , , 
325,380859.375,-100, , , , , 
326,382031.250,-100, , , , , 
327,383203.125,-100, , , , , 
328,384375.000,-100, , , , , 
329,385546.875,-100, , , , , 
330,386718.750,-100, , , , , 
331,387890.625,-100,35,331,330,332,387890.62
332,389062.500,-100, , , , , 
333,390234.375,-100, , , , , 
334,391406.250,-100, , , , , 
335,392578.125,-100, , , , , 
336,393750.000,-100, , , , , 
337,394921.875,-100, , , , , 
338,396093.750,-99.31011168235773, , , , , 
339,397265.625,-95.94614589180082, , , , , 
340,398437.500,-89.54148965923986, , , , , 
341,399609.375,-0.4685548536563604, , , , , 
342,400781.250,-13.74763456177422, , , , , 
343,401953.125,-92.63249703856543, , , , , 
344,403125.000,-97.20215271239496, , , , , 
345,404296.875,-100, , , , , 
346,405468.750,-100, , , , , 
347,406640.625,-100, , , , , 
348,407812.500,-100, , , , , 
349,408984.375,-100, , , , , 
350,410156.250,-100, , , , , 
351,411328.125,-100,36,351,350,352,411328.12
352,412500.000,-100, , , , , 
353,413671.875,-100, , , , , 
354,414843.750,-100, , , , , 
355,416015.625,-100, , , , , 
356,417187.500,-100, , , , , 
357,418359.375,-100, , , , , 
358,419531.250,-100, , , , , 
359,420703.125,-100, , , , , 
360,421875.000,-100, , , , , 
361,423046.875,-100, , , , , 
362,424218.750,-100, , , , , 
363,425390.625,-100, , , , , 
364,426562.500,-100, , , , , 
365,427734.375,-100, , , , , 
366,428906.250,-100, , , , , 
367,430078.125,-100, , , , , 
368,431250.000,-100, , , , , 
369,432421.875,-100, , , , , 
370,433593.750,-100, , , , , 
371,434765.625,-100,37,371,370,372,434765.62
372,435937.500,-100, , , , , 
373,437109.375,-100, , , , , 
374,438281.250,-100, , , , , 
375,439453.125,-100, , , , , 
376,440625.000,-100, , , , , 
377,441796.875,-100, , , , , 
378,442968.750,-100, , , , , 
379,444140.625,-100, , , , , 
380,445312.500,-100, , , , , 
381,446484.375,-98.31299106004755, , , , , 
382,447656.250,-94.49959055531997, , , , , 
383,448828.125,-71.65982337235417, , , , , 
384,450000.000,-0.00019253209306927885, , , , , 
385,451171.875,-71.65982337235417, , , , , 
386,452343.750,-94.49959055531997, , , , , 
